certificate_id,batch_id,pos_number,volume_liters,volume_mt,energy_content_mj,blend_percentage,ghg_reduction_percentage,core_lca_value,lifecycle_emissions_gco2e_mj,feedstock_type,feedstock_country,production_pathway,astm_pathway,producer_name,production_facility,production_country,certification_scheme,certifying_body,verification_status,corsia_eligible,eu_red_compliant,issuance_date,expiration_date,delivery_date,airline_name,destination_airport,certificate_status,retirement_date,retirement_beneficiary,chain_of_custody_type,supplier_name,sustainability_tier
SAF-2024-001,BATCH-A001,ISCC-NL-SAF-2024-001,125000,100.5,4320000,50,84.2,13.5,13.5,Used Cooking Oil,Netherlands,HEFA,D7566-A2,Neste Corporation,Rotterdam Refinery,Netherlands,ISCC-CORSIA,Control Union,verified,true,true,15/01/2024,15/01/2026,20/01/2024,KLM Royal Dutch Airlines,AMS,active,,,mass_balance,SkyNRG BV,A
SAF-2024-002,BATCH-A002,ISCC-FI-SAF-2024-002,187500,150.2,6480000,50,89.1,9.2,9.2,Animal Fat Category 1,Finland,HEFA,D7566-A2,Neste Corporation,Porvoo Refinery,Finland,ISCC-CORSIA,SGS,verified,true,true,18/01/2024,18/01/2026,25/01/2024,Finnair,HEL,active,,,mass_balance,World Energy,A
SAF-2024-003,BATCH-B001,RSB-US-SAF-2024-001,100000,80.4,3456000,35,72.5,23.5,23.5,Corn Ethanol,United States,ATJ,D7566-A5,Gevo Inc,Luverne Facility,United States,RSB-CORSIA,SCS Global,verified,true,false,20/01/2024,20/01/2026,28/01/2024,United Airlines,SFO,active,,,book_and_claim,EPIC Fuels,B
SAF-2024-004,BATCH-B002,ISCC-DE-SAF-2024-001,75000,60.3,2592000,30,78.9,18.2,18.2,Forestry Residues,Germany,FT,D7566-A1,Fulcrum BioEnergy,Mainz Plant,Germany,ISCC-EU,TUV Nord,verified,false,true,22/01/2024,22/01/2026,01/02/2024,Lufthansa,FRA,active,,,segregation,Shell Aviation,B
SAF-2024-005,BATCH-C001,ISCC-UK-SAF-2024-001,200000,160.6,6912000,50,91.3,7.4,7.4,Municipal Solid Waste,United Kingdom,FT,D7566-A1,Velocys,Immingham Plant,United Kingdom,ISCC-CORSIA,Control Union,verified,true,true,25/01/2024,25/01/2026,05/02/2024,British Airways,LHR,active,,,mass_balance,BP Air,A
SAF-2024-006,BATCH-C002,RSB-NL-SAF-2024-001,150000,120.5,5184000,45,86.7,11.4,11.4,Camelina Oil,Netherlands,HEFA,D7566-A2,World Energy,Amsterdam Facility,Netherlands,RSB-EU-RED,RSB,verified,true,true,28/01/2024,28/01/2026,08/02/2024,Air France,CDG,active,,,mass_balance,SkyNRG BV,A
SAF-2024-007,BATCH-D001,ISCC-SG-SAF-2024-001,112500,90.4,3888000,40,83.1,14.5,14.5,Palm Fatty Acid Distillate,Singapore,HEFA,D7566-A2,Neste Corporation,Singapore Refinery,Singapore,ISCC-CORSIA,SGS,verified,true,true,01/02/2024,01/02/2026,12/02/2024,Singapore Airlines,SIN,active,,,mass_balance,ExxonMobil Aviation,A
SAF-2024-008,BATCH-D002,ISCC-US-SAF-2024-001,250000,200.8,8640000,50,88.4,9.9,9.9,Soybean Oil,United States,HEFA,D7566-A2,World Energy,Paramount Refinery,United States,ISCC-PLUS,SCS Global,pending,false,false,05/02/2024,05/02/2026,15/02/2024,Delta Air Lines,ATL,active,,,book_and_claim,Avfuel Corporation,B
SAF-2024-009,BATCH-E001,RSB-SE-SAF-2024-001,62500,50.2,2160000,25,94.2,4.9,4.9,Tall Oil,Sweden,HEFA,D7566-A2,Preem AB,Gothenburg Refinery,Sweden,RSB-Global,RSB,verified,true,true,08/02/2024,08/02/2026,18/02/2024,SAS Scandinavian,ARN,active,,,segregation,Preem AB,A
SAF-2024-010,BATCH-E002,ISCC-JP-SAF-2024-001,87500,70.3,3024000,35,79.6,17.5,17.5,Algae Oil,Japan,HEFA,D7566-A2,ENEOS Corporation,Yokohama Plant,Japan,ISCC-CORSIA,JQA,verified,true,true,10/02/2024,10/02/2026,20/02/2024,Japan Airlines,NRT,active,,,mass_balance,ENEOS Corporation,B
SAF-2024-011,BATCH-F001,ISCC-AU-SAF-2024-001,175000,140.5,6048000,50,82.8,14.8,14.8,Tallow,Australia,HEFA,D7566-A2,BP Australia,Kwinana Refinery,Australia,ISCC-CORSIA,DNV GL,verified,true,true,12/02/2024,12/02/2026,22/02/2024,Qantas,SYD,active,,,mass_balance,BP Air,A
SAF-2024-012,BATCH-F002,2BSvs-FR-SAF-2024-001,93750,75.3,3240000,30,76.4,20.3,20.3,Sunflower Oil,France,HEFA,D7566-A2,TotalEnergies,La Mede Refinery,France,2BSvs,Bureau Veritas,under_review,false,true,15/02/2024,15/02/2026,25/02/2024,Air France,CDG,active,,,mass_balance,TotalEnergies Aviation,B
SAF-2024-013,BATCH-G001,ISCC-IT-SAF-2024-001,137500,110.4,4752000,45,85.3,12.6,12.6,Used Cooking Oil,Italy,HEFA,D7566-A2,Eni SpA,Venice Refinery,Italy,ISCC-EU,RINA,verified,false,true,18/02/2024,18/02/2026,28/02/2024,ITA Airways,FCO,active,,,mass_balance,Eni Aviation,A
SAF-2024-014,BATCH-G002,RSB-CA-SAF-2024-001,225000,180.6,7776000,50,90.7,7.9,7.9,Canola Oil,Canada,HEFA,D7566-A2,Parkland Corporation,Burnaby Refinery,Canada,RSB-Global,RSB,verified,true,true,20/02/2024,20/02/2026,01/03/2024,Air Canada,YYZ,active,,,book_and_claim,Shell Aviation,A
SAF-2024-015,BATCH-H001,ISCC-BR-SAF-2024-001,162500,130.5,5616000,45,87.9,10.4,10.4,Sugarcane Ethanol,Brazil,ATJ,D7566-A5,Raizen,Piracicaba Plant,Brazil,ISCC-CORSIA,Control Union,verified,true,true,22/02/2024,22/02/2026,05/03/2024,LATAM Airlines,GRU,active,,,segregation,Raizen Aviation,A
